prompt_1 USUARIO:
dame las peliculas que más tiempo han estado alquiladas.Incluye eel nombre de la pelicula, y su categoria

codigo SQL_1 AGENTE:
SELECT f.title, c.name, SUM(r.return_date - r.rental_date) AS total_rental_duration
FROM rental r
JOIN inventory i ON r.inventory_id = i.inventory_id
JOIN film f ON i.film_id = f.film_id
JOIN film_category fc ON f.film_id = fc.film_id
JOIN category c ON fc.category_id = c.category_id
GROUP BY f.title, c.name
ORDER BY total_rental_duration DESC;

tabla_1 AGENTE:
|     | title                       | name        | total_rental_duration   |
| 409 | Clones Pinocchio            | Music       | 88 days 23:28:00        |
| 410 | Weekend Personal            | Sci-Fi      | 88 days 23:08:00        |
| 411 | Indian Love                 | Family      | 88 days 22:34:00        |
| 412 | Pure Runner                 | Comedy      | 88 days 21:07:00        |
| 413 | Rings Heartbreakers         | Action      | 88 days 18:56:00        |
| 414 | Hamlet Wisdom               | Sci-Fi      | 88 days 17:37:00        |
| 415 | Trap Guys                   | Foreign     | 88 days 15:37:00        |
| 416 | Madison Trap                | Documentary | 88 days 13:40:00        |
| 417 | Jacket Frisco               | Drama       | 88 days 10:50:00        |
| 418 | Beach Heartbreakers         | Documentary | 88 days 09:29:00        |
| 419 | Chicago North               | Games       | 88 days 08:16:00        |
| 420 | Kick Savannah               | Travel      | 88 days 08:00:00        |
| 421 | Grease Youth                | Family      | 88 days 07:49:00        |
| 422 | Mask Peach                  | New         | 88 days 06:58:00        |
| 423 | Jedi Beneath                | Family      | 87 days 20:57:00        |
| 424 | Canyon Stock                | Animation   | 87 days 14:36:00        |
| 425 | Berets Agent                | Action      | 87 days 12:22:00        |
| 426 | Wrong Behavior              | Children    | 87 days 09:58:00        |
| 427 | Jekyll Frogmen              | New         | 87 days 09:11:00        |
| 428 | French Holiday              | Documentary | 87 days 06:02:00        |
| 429 | Flight Lies                 | Sports      | 87 days 05:59:00        |
| 430 | Potter Connecticut          | Animation   | 87 days 04:39:00        |
| 431 | Home Pity                   | Music       | 87 days 04:12:00        |
| 432 | Virtual Spoilers            | Family      | 87 days 03:55:00        |
| 433 | Polish Brooklyn             | Children    | 87 days 00:27:00        |
| 434 | Gables Metropolis           | Family      | 87 days 00:27:00        |
| 435 | Straight Hours              | Sports      | 86 days 19:52:00        |
| 436 | Heartbreakers Bright        | Children    | 86 days 13:46:00        |
| 437 | Chariots Conspiracy         | Sci-Fi      | 86 days 08:51:00        |
| 438 | Artist Coldblooded          | Sports      | 86 days 08:47:00        |
| 439 | Willow Tracy                | Family      | 86 days 05:31:00        |
| 440 | Desert Poseidon             | Horror      | 86 days 04:18:00        |
| 441 | Roots Remember              | Classics    | 86 days 02:28:00        |
| 442 | Lady Stage                  | Horror      | 86 days 02:04:00        |
| 443 | United Pilot                | Documentary | 86 days 01:24:00        |
| 444 | Rock Instinct               | Horror      | 85 days 23:10:00        |
| 445 | Bride Intrigue              | Action      | 85 days 19:15:00        |
| 446 | Uncut Suicides              | Music       | 85 days 17:13:00        |
| 447 | Blade Polish                | Drama       | 85 days 15:47:00        |
| 448 | Jeepers Wedding             | Classics    | 85 days 13:59:00        |
| 449 | Hellfighters Sierra         | Foreign     | 85 days 12:32:00        |
| 450 | Reap Unfaithful             | Horror      | 85 days 12:27:00        |
| 451 | Mummy Creatures             | Sports      | 85 days 12:01:00        |
| 452 | Teen Apollo                 | Travel      | 85 days 11:21:00        |
| 453 | Holocaust Highball          | Children    | 85 days 10:57:00        |
| 454 | Quest Mussolini             | Action      | 85 days 10:11:00        |
| 455 | Racer Egg                   | Drama       | 85 days 10:07:00        |
| 456 | Graduate Lord               | Children    | 85 days 06:28:00        |
| 457 | National Story              | Documentary | 85 days 03:22:00        |
| 458 | Mission Zoolander           | Animation   | 84 days 18:51:00        |
| 459 | Wolves Desire               | Travel      | 84 days 13:45:00        |
| 460 | Virgin Daisy                | Drama       | 84 days 11:21:00        |
| 461 | Birds Perdition             | New         | 84 days 10:00:00        |
| 462 | Sierra Divide               | Sports      | 84 days 06:47:00        |
| 463 | Encino Elf                  | Games       | 83 days 20:28:00        |
| 464 | Deceiver Betrayed           | Drama       | 83 days 16:52:00        |
| 465 | Creatures Shakespeare       | Games       | 83 days 14:44:00        |
| 466 | Spice Sorority              | Drama       | 83 days 10:13:00        |
| 467 | Inch Jet                    | Animation   | 83 days 08:31:00        |
| 468 | Silence Kane                | Music       | 83 days 06:35:00        |
| 469 | Pilot Hoosiers              | Family      | 83 days 06:02:00        |
| 470 | Greek Everyone              | Foreign     | 83 days 03:10:00        |
| 471 | Paris Weekend               | Horror      | 82 days 22:46:00        |
| 472 | Rouge Squad                 | Games       | 82 days 20:09:00        |
| 473 | Uprising Uptown             | Action      | 82 days 19:09:00        |
| 474 | Manchurian Curtain          | Family      | 82 days 12:42:00        |
| 475 | Roxanne Rebel               | Games       | 82 days 07:58:00        |
| 476 | Dragonfly Strangers         | New         | 82 days 01:01:00        |
| 477 | Wonka Sea                   | Animation   | 82 days 01:00:00        |
| 478 | Worst Banger                | Action      | 81 days 23:01:00        |
| 479 | Valley Packer               | Comedy      | 81 days 14:24:00        |
| 480 | Splash Gump                 | Family      | 81 days 05:47:00        |
| 481 | Rage Games                  | Family      | 81 days 02:13:00        |
| 482 | Slipper Fidelity            | Sports      | 80 days 23:52:00        |
| 483 | Patient Sister              | Classics    | 80 days 15:07:00        |
| 484 | Reunion Witches             | Drama       | 80 days 12:55:00        |
| 485 | Cabin Flash                 | Children    | 80 days 10:23:00        |
| 486 | Wanda Chamber               | Games       | 80 days 00:11:00        |
| 487 | West Lion                   | Drama       | 79 days 23:26:00        |
| 488 | Hall Cassidy                | Children    | 79 days 22:43:00        |
| 489 | Dirty Ace                   | Games       | 79 days 22:16:00        |
| 490 | Chamber Italian             | Music       | 79 days 19:14:00        |
| 491 | Odds Boogie                 | Family      | 79 days 17:46:00        |
| 492 | Worker Tarzan               | Travel      | 79 days 16:06:00        |
| 493 | Mermaid Insects             | Sports      | 79 days 14:09:00        |
| 494 | Club Graffiti               | Animation   | 79 days 08:18:00        |
| 495 | Glass Dying                 | Action      | 79 days 02:22:00        |
| 496 | Cincinatti Whisperer        | Sci-Fi      | 78 days 23:59:00        |
| 497 | Day Unfaithful              | New         | 78 days 23:41:00        |
| 498 | Analyze Hoosiers            | Horror      | 78 days 23:21:00        |
| 499 | Army Flintstones            | Documentary | 78 days 21:57:00        |
| 500 | Masked Bubble               | Music       | 78 days 19:19:00        |
| 501 | Super Wyoming               | Family      | 78 days 16:05:00        |
| 502 | Pollock Deliverance         | Foreign     | 78 days 14:01:00        |
| 503 | Shrunk Divine               | Action      | 78 days 12:01:00        |
| 504 | Slacker Liaisons            | Drama       | 78 days 10:12:00        |
| 505 | Musketeers Wait             | Classics    | 78 days 07:27:00        |
| 506 | African Egg                 | Family      | 78 days 04:09:00        |
| 507 | Tycoon Gathering            | Games       | 78 days 03:09:00        |
| 508 | Rocky War                   | Drama       | 78 days 01:55:00        |
| 509 | Galaxy Sweethearts          | Classics    | 77 days 19:19:00        |
| 510 | Hope Tootsie                | Classics    | 77 days 18:31:00        |
| 511 | Jade Bunch                  | Sports      | 77 days 18:26:00        |
| 512 | Taxi Kick                   | Music       | 77 days 17:01:00        |
| 513 | Siege Madre                 | Family      | 77 days 08:58:00        |
| 514 | Vanishing Rocky             | Music       | 77 days 07:06:00        |
| 515 | Modern Dorado               | Documentary | 77 days 04:17:00        |
| 516 | Comforts Rush               | Travel      | 77 days 02:11:00        |
| 517 | Loser Hustler               | Sports      | 77 days 01:35:00        |
| 518 | Alley Evolution             | Foreign     | 77 days 01:03:00        |
| 519 | Holiday Games               | Foreign     | 76 days 19:55:00        |
| 520 | Charade Duffel              | Sci-Fi      | 76 days 18:29:00        |
| 521 | Pittsburgh Hunchback        | Family      | 76 days 15:32:00        |
| 522 | Watch Tracy                 | Animation   | 76 days 14:18:00        |
| 523 | Summer Scarface             | Classics    | 76 days 14:06:00        |
| 524 | Personal Ladybugs           | Music       | 76 days 11:57:00        |
| 525 | Words Hunter                | Music       | 76 days 08:49:00        |
| 526 | Hunger Roof                 | Foreign     | 76 days 06:29:00        |
| 527 | Drums Dynamite              | Horror      | 76 days 06:25:00        |
| 528 | Circus Youth                | Children    | 76 days 05:18:00        |
| 529 | Steers Armageddon           | Sports      | 75 days 22:16:00        |
| 530 | Date Speed                  | Family      | 75 days 22:09:00        |
| 531 | Hunting Musketeers          | Family      | 75 days 16:46:00        |
| 532 | Human Graffiti              | Games       | 75 days 14:51:00        |
| 533 | Hanover Galaxy              | Music       | 75 days 14:05:00        |
| 534 | Paycheck Wait               | Drama       | 75 days 08:29:00        |
| 535 | Scarface Bang               | Children    | 75 days 02:05:00        |
| 536 | Doors President             | Animation   | 74 days 23:05:00        |
| 537 | Darkness War                | Drama       | 74 days 14:47:00        |
| 538 | Shane Darkness              | Travel      | 74 days 14:00:00        |
| 539 | Panther Reds                | Sci-Fi      | 74 days 12:20:00        |
| 540 | Holes Brannigan             | Sports      | 74 days 12:01:00        |
| 541 | Connecticut Tramp           | Sci-Fi      | 74 days 10:38:00        |
| 542 | Spinal Rocky                | Family      | 74 days 08:59:00        |
| 543 | Louisiana Harry             | Family      | 74 days 06:47:00        |
| 544 | Caddyshack Jedi             | Action      | 74 days 06:46:00        |
| 545 | Illusion Amelie             | Foreign     | 74 days 04:20:00        |
| 546 | Mile Mulan                  | Sports      | 74 days 03:09:00        |
| 547 | Edge Kissing                | Drama       | 74 days 02:57:00        |
| 548 | Betrayed Rear               | Children    | 74 days 01:16:00        |
| 549 | Cyclone Family              | Foreign     | 73 days 23:11:00        |
| 550 | Sweet Brotherhood           | Travel      | 73 days 23:07:00        |
| 551 | Smoking Barbarella          | Documentary | 73 days 21:09:00        |
| 552 | Silverado Goldfinger        | Sci-Fi      | 73 days 18:47:00        |
| 553 | Dangerous Uptown            | Foreign     | 73 days 18:40:00        |
| 554 | Peach Innocent              | Sports      | 73 days 18:19:00        |
| 555 | Instinct Airport            | Sports      | 73 days 14:39:00        |
| 556 | Moonwalker Fool             | Games       | 73 days 12:37:00        |
| 557 | Liberty Magnificent         | Sports      | 73 days 09:25:00        |
| 558 | Side Ark                    | Action      | 73 days 02:19:00        |
| 559 | Wasteland Divine            | Classics    | 73 days 01:24:00        |
| 560 | Grinch Massage              | Games       | 73 days 00:21:00        |
| 561 | Lost Bird                   | Foreign     | 72 days 19:43:00        |
| 562 | Lonely Elephant             | Comedy      | 72 days 16:43:00        |
| 563 | Insider Arizona             | Music       | 72 days 12:16:00        |
| 564 | Searchers Wait              | Comedy      | 72 days 11:20:00        |
| 565 | Gold River                  | Comedy      | 72 days 10:49:00        |
| 566 | Orient Closer               | Drama       | 72 days 07:12:00        |
| 567 | Vietnam Smoochy             | Drama       | 72 days 00:44:00        |
| 568 | Deep Crusade                | Documentary | 71 days 19:54:00        |
| 569 | Mosquito Armageddon         | Sports      | 71 days 18:26:00        |
| 570 | Tuxedo Mile                 | Sports      | 71 days 13:44:00        |
| 571 | Blindness Gun               | Sci-Fi      | 71 days 08:36:00        |
| 572 | Quills Bull                 | Documentary | 71 days 05:47:00        |
| 573 | Microcosmos Paradise        | Children    | 71 days 05:12:00        |
| 574 | Motions Details             | Horror      | 71 days 04:01:00        |
| 575 | Bull Shawshank              | Action      | 70 days 23:08:00        |
| 576 | Memento Zoolander           | Comedy      | 70 days 18:41:00        |
| 577 | Stampede Disturbing         | Games       | 70 days 18:12:00        |
| 578 | Confessions Maguire         | Drama       | 70 days 17:38:00        |
| 579 | Troopers Metal              | New         | 70 days 12:57:00        |
| 580 | Ferris Mother               | Comedy      | 70 days 11:00:00        |
| 581 | Monster Spartacus           | Music       | 70 days 10:47:00        |
| 582 | Bilko Anonymous             | Family      | 70 days 08:13:00        |
| 583 | Image Princess              | Sports      | 70 days 00:52:00        |
| 584 | Saddle Antitrust            | Comedy      | 69 days 23:55:00        |
| 585 | Anthem Luke                 | Comedy      | 69 days 21:46:00        |
| 586 | Saturn Name                 | Comedy      | 69 days 20:24:00        |
| 587 | Devil Desire                | Action      | 69 days 19:20:00        |
| 588 | Werewolf Lola               | Action      | 69 days 17:02:00        |
| 589 | Daisy Menagerie             | Sci-Fi      | 69 days 13:13:00        |
| 590 | Dying Maker                 | Comedy      | 69 days 12:44:00        |
| 591 | Casablanca Super            | Travel      | 69 days 10:00:00        |
| 592 | Necklace Outbreak           | Drama       | 69 days 07:49:00        |
| 593 | Translation Summer          | Drama       | 69 days 06:34:00        |
| 594 | Behavior Runaway            | Horror      | 69 days 06:08:00        |
| 595 | Baked Cleopatra             | Family      | 69 days 05:56:00        |
| 596 | Boiled Dares                | Travel      | 69 days 05:37:00        |
| 597 | Dude Blindness              | Sports      | 68 days 23:03:00        |
| 598 | Conquerer Nuts              | Drama       | 68 days 21:21:00        |
| 599 | Bright Encounters           | Drama       | 68 days 20:14:00        |
| 600 | Idaho Love                  | New         | 68 days 18:31:00        |
| 601 | Airplane Sierra             | Comedy      | 68 days 17:31:00        |
| 602 | Bonnie Holocaust            | Documentary | 68 days 15:00:00        |
| 603 | Valentine Vanishing         | Travel      | 68 days 14:22:00        |
| 604 | Impossible Prejudice        | Foreign     | 68 days 12:36:00        |
| 605 | Jaws Harry                  | Comedy      | 68 days 10:39:00        |
| 606 | Joon Northwest              | Sports      | 68 days 04:36:00        |
| 607 | Exorcist Sting              | Sports      | 68 days 01:46:00        |
| 608 | Intentions Empire           | Animation   | 67 days 22:05:00        |
| 609 | Party Knock                 | Comedy      | 67 days 20:14:00        |
| 610 | Sons Interview              | Animation   | 67 days 19:34:00        |
| 611 | Midnight Westward           | Action      | 67 days 18:17:00        |
| 612 | Pluto Oleander              | New         | 67 days 16:55:00        |
| 613 | Blanket Beverly             | Family      | 67 days 16:26:00        |
| 614 | Donnie Alley                | Animation   | 67 days 15:36:00        |
| 615 | Hook Chariots               | Animation   | 67 days 12:04:00        |
| 616 | Wagon Jaws                  | Documentary | 67 days 11:19:00        |
| 617 | Lawless Vision              | Animation   | 67 days 09:14:00        |
| 618 | Smile Earring               | Travel      | 67 days 01:37:00        |
| 619 | Driver Annie                | Sports      | 67 days 00:21:00        |
| 620 | Mighty Luck                 | Documentary | 66 days 23:37:00        |
| 621 | Alabama Devil               | Horror      | 66 days 21:12:00        |
| 622 | Divine Resurrection         | Games       | 66 days 17:42:00        |
| 623 | Gunfighter Mussolini        | Sports      | 66 days 15:27:00        |
| 624 | Hysterical Grail            | Sports      | 66 days 14:00:00        |
| 625 | Citizen Shrek               | Sci-Fi      | 66 days 13:26:00        |
| 626 | Daddy Pittsburgh            | Comedy      | 66 days 10:52:00        |
| 627 | Robbery Bright              | Family      | 66 days 10:35:00        |
| 628 | Destiny Saturday            | New         | 66 days 07:03:00        |
| 629 | State Wasteland             | Games       | 66 days 06:31:00        |
| 630 | Lock Rear                   | Travel      | 66 days 06:17:00        |
| 631 | Disciple Mother             | Travel      | 66 days 06:07:00        |
| 632 | Loverboy Attacks            | New         | 66 days 06:01:00        |
| 633 | Craft Outfield              | Drama       | 66 days 04:22:00        |
| 634 | Flash Wars                  | New         | 65 days 23:06:00        |
| 635 | Pajama Jawbreaker           | Classics    | 65 days 16:18:00        |
| 636 | Mob Duffel                  | Drama       | 65 days 14:48:00        |
| 637 | California Birds            | Sports      | 65 days 10:51:00        |
| 638 | Oleander Clue               | Music       | 65 days 10:49:00        |
| 639 | Lucky Flying                | Music       | 65 days 07:11:00        |
| 640 | Run Pacific                 | New         | 65 days 02:09:00        |
| 641 | Freaky Pocus                | Music       | 65 days 00:41:00        |
| 642 | Nemo Campus                 | Sci-Fi      | 64 days 23:16:00        |
| 643 | Identity Lover              | Sci-Fi      | 64 days 22:52:00        |
| 644 | Impact Aladdin              | Music       | 64 days 19:20:00        |
| 645 | War Notting                 | Foreign     | 64 days 16:41:00        |
| 646 | Elephant Trojan             | Horror      | 64 days 16:17:00        |
| 647 | Champion Flatliners         | Animation   | 64 days 12:17:00        |
| 648 | Wrath Mile                  | Documentary | 64 days 09:53:00        |
| 649 | Wizard Coldblooded          | Music       | 64 days 07:00:00        |
| 650 | Gaslight Crusade            | Horror      | 64 days 01:15:00        |
| 651 | Outlaw Hanky                | Travel      | 63 days 23:32:00        |
| 652 | Submarine Bed               | Comedy      | 63 days 22:26:00        |
| 653 | Model Fish                  | Children    | 63 days 18:47:00        |
| 654 | Savannah Town               | Drama       | 63 days 18:05:00        |
| 655 | Trojan Tomorrow             | Sci-Fi      | 63 days 16:56:00        |
| 656 | Tootsie Pilot               | Children    | 63 days 12:22:00        |
| 657 | Rider Caddyshack            | Sports      | 63 days 04:57:00        |
| 658 | Anonymous Human             | Sports      | 63 days 01:59:00        |
| 659 | Spirit Flintstones          | Horror      | 62 days 23:20:00        |
| 660 | Feathers Metal              | Games       | 62 days 20:43:00        |
| 661 | Mulan Moon                  | Comedy      | 62 days 19:45:00        |
| 662 | Speakeasy Date              | Action      | 62 days 19:16:00        |
| 663 | Sugar Wonka                 | Animation   | 62 days 17:05:00        |
| 664 | Labyrinth League            | Children    | 62 days 16:25:00        |
| 665 | Evolution Alter             | Sports      | 62 days 12:44:00        |
| 666 | Factory Dragon              | Travel      | 62 days 12:20:00        |
| 667 | Raging Airplane             | Sci-Fi      | 62 days 04:57:00        |
| 668 | Massage Image               | Animation   | 62 days 04:21:00        |
| 669 | Turn Star                   | Animation   | 62 days 01:24:00        |
| 670 | Bugsy Song                  | Foreign     | 61 days 14:45:00        |
| 671 | Meet Chocolate              | Foreign     | 61 days 12:14:00        |
| 672 | Tomatoes Hellfighters       | Travel      | 61 days 11:20:00        |
| 673 | Magnolia Forrester          | Action      | 61 days 10:53:00        |
| 674 | Natural Stock               | Family      | 61 days 09:51:00        |
| 675 | Bird Independence           | Travel      | 61 days 07:18:00        |
| 676 | Gone Trouble                | Drama       | 61 days 06:39:00        |
| 677 | Chisum Behavior             | Family      | 61 days 02:52:00        |
| 678 | Sassy Packer                | Games       | 60 days 21:16:00        |
| 679 | Varsity Trip                | New         | 60 days 19:13:00        |
| 680 | Birch Antitrust             | Music       | 60 days 19:12:00        |
| 681 | Finding Anaconda            | Family      | 60 days 15:49:00        |
| 682 | October Submarine           | Classics    | 60 days 15:14:00        |
| 683 | Thin Sagebrush              | Documentary | 60 days 14:34:00        |
| 684 | Reservoir Adaptation        | Foreign     | 60 days 10:48:00        |
| 685 | Forever Candidate           | Children    | 60 days 10:33:00        |
| 686 | Reds Pocus                  | Music       | 60 days 10:15:00        |
| 687 | Paths Control               | Drama       | 60 days 09:40:00        |
| 688 | Lover Truman                | Classics    | 60 days 08:46:00        |
| 689 | Reef Salute                 | Horror      | 60 days 05:44:00        |
| 690 | Arabia Dogma                | Horror      | 60 days 03:17:00        |
| 691 | Gilbert Pelican             | Classics    | 59 days 21:42:00        |
| 692 | Wyoming Storm               | New         | 59 days 07:37:00        |
| 693 | Spiking Element             | Classics    | 59 days 05:16:00        |
| 694 | Rollercoaster Bringing      | Horror      | 59 days 03:58:00        |
| 695 | Stone Fire                  | Travel      | 59 days 00:01:00        |
| 696 | Town Ark                    | Foreign     | 58 days 23:53:00        |
| 697 | Creepers Kane               | Classics    | 58 days 23:07:00        |
| 698 | Past Suicides               | Foreign     | 58 days 21:08:00        |
| 699 | Lawrence Love               | Action      | 58 days 17:30:00        |
| 700 | Vampire Whale               | New         | 58 days 08:23:00        |
| 701 | Darko Dorado                | Action      | 58 days 00:27:00        |
| 702 | Lovely Jingle               | Classics    | 57 days 22:15:00        |
| 703 | Drumline Cyclone            | Travel      | 57 days 17:24:00        |
| 704 | Trainspotting Strangers     | Comedy      | 57 days 16:34:00        |
| 705 | Theory Mermaid              | Animation   | 57 days 01:01:00        |
| 706 | Autumn Crow                 | Games       | 57 days 00:57:00        |
| 707 | Crow Grease                 | Action      | 56 days 19:43:00        |
| 708 | Spirited Casualties         | Sci-Fi      | 56 days 19:42:00        |
| 709 | Blood Argonauts             | Family      | 56 days 17:29:00        |
| 710 | Dolls Rage                  | Sci-Fi      | 56 days 12:16:00        |
| 711 | Ties Hunger                 | Children    | 56 days 10:51:00        |
| 712 | Hollywood Anonymous         | Children    | 56 days 09:52:00        |
| 713 | Insects Stone               | Animation   | 56 days 07:40:00        |
| 714 | Homeward Cider              | Documentary | 56 days 03:15:00        |
| 715 | Cranes Reservoir            | Sports      | 55 days 22:45:00        |
| 716 | Kane Exorcist               | Foreign     | 55 days 19:32:00        |
| 717 | Smoochy Control             | Sports      | 55 days 12:03:00        |
| 718 | Shanghai Tycoon             | Travel      | 55 days 08:05:00        |
| 719 | Wars Pluto                  | Documentary | 55 days 05:46:00        |
| 720 | Frida Slipper               | Foreign     | 55 days 02:19:00        |
| 721 | Casualties Encino           | Action      | 55 days 01:59:00        |
| 722 | Opposite Necklace           | Family      | 55 days 01:55:00        |
| 723 | Breaking Home               | New         | 54 days 23:24:00        |
| 724 | Santa Paris                 | Children    | 54 days 21:36:00        |
| 725 | Mod Secretary               | Documentary | 54 days 21:12:00        |
| 726 | Minority Kiss               | Music       | 54 days 20:18:00        |
| 727 | Express Lonely              | Sci-Fi      | 54 days 14:11:00        |
| 728 | Temple Attraction           | Horror      | 54 days 12:09:00        |
| 729 | Games Bowfinger             | Travel      | 54 days 10:22:00        |
| 730 | Lolita World                | Family      | 54 days 09:48:00        |
| 731 | Opus Ice                    | Foreign     | 54 days 09:11:00        |
| 732 | Stage World                 | Comedy      | 54 days 08:24:00        |
| 733 | Brannigan Sunrise           | New         | 54 days 05:12:00        |
| 734 | Wonderful Drop              | Foreign     | 54 days 04:42:00        |
| 735 | Legend Jedi                 | Music       | 54 days 04:14:00        |
| 736 | Bedazzled Married           | Family      | 54 days 04:07:00        |
| 737 | Dragon Squad                | Action      | 54 days 04:03:00        |
| 738 | Jingle Sagebrush            | Classics    | 54 days 03:11:00        |
| 739 | Window Side                 | Travel      | 54 days 02:39:00        |
| 740 | Element Freddy              | Comedy      | 53 days 19:03:00        |
| 741 | Maker Gables                | Children    | 53 days 08:30:00        |
| 742 | Language Cowboy             | Children    | 53 days 03:02:00        |
| 743 | Grail Frankenstein          | Action      | 53 days 02:39:00        |
| 744 | Beethoven Exorcist          | Drama       | 52 days 10:15:00        |
| 745 | Scissorhands Slums          | Foreign     | 52 days 04:26:00        |
| 746 | Monterey Labyrinth          | Horror      | 52 days 03:19:00        |
| 747 | Crusade Honey               | Sports      | 52 days 02:29:00        |
| 748 | Caribbean Liberty           | Sports      | 52 days 01:15:00        |
| 749 | Purple Movie                | Foreign     | 51 days 23:31:00        |
| 750 | Frogmen Breaking            | Travel      | 51 days 12:06:00        |
| 751 | Stock Glass                 | New         | 51 days 03:24:00        |
| 752 | Madigan Dorado              | Travel      | 51 days 01:55:00        |
| 753 | Daughter Madigan            | Children    | 51 days 01:55:00        |
| 754 | Ending Crowds               | New         | 50 days 23:14:00        |
| 755 | Lord Arizona                | Action      | 50 days 17:58:00        |
| 756 | Clockwork Paradise          | Children    | 50 days 17:12:00        |
| 757 | Monsoon Cause               | Games       | 50 days 14:40:00        |
| 758 | Lambs Cincinatti            | Games       | 50 days 13:12:00        |
| 759 | Magnificent Chitty          | Classics    | 50 days 09:25:00        |
| 760 | Life Twisted                | Comedy      | 50 days 08:27:00        |
| 761 | Right Cranes                | Classics    | 50 days 03:20:00        |
| 762 | Vanilla Day                 | Games       | 50 days 02:35:00        |
| 763 | Song Hedwig                 | Music       | 50 days 01:46:00        |
| 764 | Hedwig Alter                | Comedy      | 50 days 00:11:00        |
| 765 | Dances None                 | Action      | 49 days 23:16:00        |
| 766 | Pride Alamo                 | Animation   | 49 days 22:40:00        |
| 767 | Jungle Closer               | New         | 49 days 22:19:00        |
| 768 | Anything Savannah           | Horror      | 49 days 18:04:00        |
| 769 | Born Spinal                 | Travel      | 49 days 17:48:00        |
| 770 | Maguire Apache              | Family      | 49 days 16:45:00        |
| 771 | Frisco Forrest              | Sci-Fi      | 49 days 12:27:00        |
| 772 | Sorority Queen              | Foreign     | 49 days 10:05:00        |
| 773 | Shrek License               | Foreign     | 49 days 09:27:00        |
| 774 | Holy Tadpole                | Classics    | 49 days 08:06:00        |
| 775 | Beast Hunchback             | Classics    | 49 days 06:26:00        |
| 776 | Notting Speakeasy           | Drama       | 49 days 05:04:00        |
| 777 | Mystic Truman               | Comedy      | 48 days 22:40:00        |
| 778 | Halloween Nuts              | Documentary | 48 days 20:54:00        |
| 779 | Speed Suit                  | Travel      | 48 days 19:33:00        |
| 780 | Amelie Hellfighters         | Music       | 48 days 17:12:00        |
| 781 | Spartacus Cheaper           | Family      | 48 days 15:08:00        |
| 782 | Luck Opus                   | Drama       | 48 days 13:04:00        |
| 783 | Dares Pluto                 | Animation   | 48 days 11:52:00        |
| 784 | Stranger Strangers          | Children    | 48 days 06:59:00        |
| 785 | Fiddler Lost                | Sci-Fi      | 48 days 01:09:00        |
| 786 | Birdcage Casper             | Music       | 47 days 14:33:00        |
| 787 | Zhivago Core                | Horror      | 47 days 14:25:00        |
| 788 | Random Go                   | Sci-Fi      | 47 days 12:36:00        |
| 789 | Darling Breaking            | Games       | 47 days 09:20:00        |
| 790 | Elizabeth Shane             | Sports      | 47 days 08:24:00        |
| 791 | Gathering Calendar          | Games       | 46 days 23:50:00        |
| 792 | Antitrust Tomatoes          | Action      | 46 days 20:55:00        |
| 793 | Lust Lock                   | Action      | 46 days 16:04:00        |
| 794 | Everyone Craft              | Foreign     | 46 days 13:42:00        |
| 795 | Lights Deer                 | Classics    | 46 days 12:35:00        |
| 796 | Destination Jerk            | Drama       | 46 days 10:51:00        |
| 797 | Won Dares                   | Music       | 46 days 06:35:00        |
| 798 | Potluck Mixed               | Animation   | 46 days 02:25:00        |
| 799 | Ghostbusters Elf            | Animation   | 45 days 21:54:00        |
| 800 | Iron Moon                   | Classics    | 45 days 21:19:00        |
| 801 | King Evolution              | Family      | 45 days 17:36:00        |
| 802 | Usual Untouchables          | Foreign     | 45 days 13:24:00        |
| 803 | Wisdom Worker               | Comedy      | 45 days 09:19:00        |
| 804 | Drop Waterfront             | Sports      | 45 days 07:08:00        |
| 805 | Nuts Ties                   | New         | 45 days 05:15:00        |
| 806 | Twisted Pirates             | Children    | 45 days 03:42:00        |
| 807 | Greedy Roots                | Drama       | 45 days 01:52:00        |
| 808 | Jeopardy Encino             | Classics    | 44 days 21:28:00        |
| 809 | Ship Wonderland             | Documentary | 44 days 19:04:00        |
| 810 | Beneath Rush                | Children    | 44 days 15:23:00        |
| 811 | Fugitive Maguire            | Travel      | 44 days 08:45:00        |
| 812 | Untouchables Sunrise        | Documentary | 44 days 07:01:00        |
| 813 | Kramer Chocolate            | Sports      | 44 days 04:17:00        |
| 814 | Towers Hurricane            | Classics    | 44 days 03:50:00        |
| 815 | North Tequila               | Documentary | 43 days 19:48:00        |
| 816 | Clyde Theory                | New         | 43 days 14:20:00        |
| 817 | Spoilers Hellfighters       | Documentary | 43 days 10:15:00        |
| 818 | Doubtfire Labyrinth         | Foreign     | 43 days 08:53:00        |
| 819 | Unfaithful Kill             | Drama       | 43 days 07:42:00        |
| 820 | Sunset Racer                | Family      | 43 days 04:32:00        |
| 821 | Guys Falcon                 | Sci-Fi      | 43 days 04:12:00        |
| 822 | Hollow Jeopardy             | Sci-Fi      | 43 days 01:46:00        |
| 823 | Papi Necklace               | Travel      | 42 days 18:55:00        |
| 824 | Uptown Young                | Children    | 42 days 18:17:00        |
| 825 | Early Home                  | Animation   | 42 days 15:10:00        |
| 826 | Miracle Virtual             | Animation   | 42 days 05:58:00        |
| 827 | Shining Roses               | Travel      | 42 days 04:00:00        |
| 828 | Sensibility Rear            | Family      | 42 days 00:32:00        |
| 829 | Intolerable Intentions      | Documentary | 41 days 23:52:00        |
