,id,descripcion,titulo,solucion,tipo_incidencia,descripcion_interna,etiqueta
51,165281,todos los años tenemos problemas al subir el inventario pq nos descuadra las cantidades como es la forma optima de sacar el listado,inventario,desde la pestaña stock inventario en gestión de inventarios le damos nuevo y nos creamos un inventario a fecha de hoyexportamos a excel para usarlo para nuestro recuento y lo borramoscuando lo tengamos que hacer a día 01012024 hacemos nuevo y comprobamos que nos muestre todos nuestros artículos y modificamos unidades,consulta del cliente,todos los años tenemos problemas al subir el inventario pq nos descuadra las cantidades cómo es la forma optima de sacar el listadosolucióndesde la pestaña stock inventario en gestión de inventarios le damos nuevo y nos creamos un inventario a fecha de hoyexportamos a excel para usarlo para nuestro recuento y lo borramoscuando lo tengamos que hacer a día 01012024 hacemos nuevo y comprobamos que nos muestre todos nuestros artículos y modificamos unidades,gestión
52,165277,como poner en ficha de producto el precio del sigfitopara poder facturarlo junto al product,impuesto canon sigfito,para indicar que es un canon hay que poner el importe del canon en el artículoluego ver que este marcado aplicar impuestos especiales tanto en el cliente como en el proveedor,consulta del cliente,como poner en ficha de producto el precio del sigfitopara poder facturarlo junto al product01122023ya no esta en la oficina04122023es festivo en torres así que hasta mañana no estan05122023mlaura incidenciaquiere aplicar el canon sigfitosoluciónpara indicar que es un canon hay que poner el importe del canon en el artículoluego ver que este marcado aplicar impuestos especiales tanto en el cliente como en el proveedortuve que documentarme porque me pregunto si se podía hacer de forma masiva tiene vista antigua le he comentado que debería de ponerse la vista actual para irse actualizando para futuras versiones pero no esta dispuesto a ellole marco varios artículos con el importe del canonle marco varios clientes que contienen el canoncreo que volverá a llamar pues no le ha quedado muy claro después de realizar bastantes clientes y artículos,otro
53,165276,no puede entrar en a3erp le solicita usuario y contraseña,usuario y contraseña a3erp,se vuelven a añadir las credenciales del cloud,consulta del cliente,no puede entrar en a3erp le solicita usuario y contraseñasoluciónse vuelven a añadir las credenciales del cloudse añade en syspass la dirección del cloud,sistemas
54,165272,beunos dias estoy intentando facturar masivaente todos los albaranes del mes pasado y no me dejapodeis ayudarme,factura urgente,se configura serie borrador para omitir error de la facturación automática de albaranes de venta,consulta del cliente,beunos dias estoy intentando facturar masivaente todos los albaranes del mes pasado y no me dejapodeis ayudarmeproblemafacturación automática de albaranes de venta error por versión acerca de la serie de factura borradorsolución se configura serie borrador para omitir error de la facturación automática de albaranes de venta,gestión
55,165270,facturacion,urgente no hay ninguna serie configurada como factura borrador ir al mantenimiento de series y configurar una,bug de la versiónse propone varias opciones actualizar versión realizar la facturación manual crear una factura borrador sólo crear no trabajar con ella,bug fabricante,facturacion01122023mlaura incidenciatienen un problema parecido al del mes pasado están facturando pero a la hora de facturar lo hacen por ruta forma de pago ruta 8 mensual y les da el siguiente errorimg,otro
56,165269,no contabiliza bien los cuadres de caja,tpvcuadre de caja llamar al 674401049,solucionado por el cliente nos llamará cuando vuelva a suceder la incidencia del cuadre de caja y el efectivo,consulta del cliente,no contabiliza bien los cuadres de cajasoluciónel cliente indica que llamará otra vez si detecta el mismo problema nos volverá a llamar seguirá trabajando con el tpv hasta detectarlo,gestión
57,165256,consulta para ver cómo se puede cambiar el código de proveedor en varias facturas con efectos de cartera pagados,consulta,para poder cambiar el código del proveedor en las facturas de compra es necesario que el efecto de cartera de la factura esté en situación pendiente de pago si está pagado el efecto no se podrá realizar el cambio de código de proveedor en cualquier situación que se requiere un cambio o una modificación del documento su situación siempre tiene que ser pendiente para cualquier documento ya sea de venta o de compra tiene el mismo procedimientodebe deshacer el pago por anticipo en la factura para poder cambiar el código del proveedor tanto en el anticipo como en la factura de compra,consulta del cliente,horario 800 1300 y 1500 1600 consulta para ver cómo se puede cambiar el código de proveedor en varias facturas con efectos de cartera pagadossolución enviada por correopara poder cambiar el código del proveedor en las facturas de compra es necesario que el efecto de cartera de la factura esté en situación pendiente de pago si está pagado el efecto no se podrá realizar el cambio de código de proveedor en cualquier situación que se requiere un cambio o una modificación del documento su situación siempre tiene que ser pendiente para cualquier documento ya sea de venta o de compra tiene el mismo procedimientosolucióndebe deshacer el pago por anticipo en la factura para poder cambiar el código del proveedor tanto en el anticipo como en la factura de compra,cartera
58,165254,he creado un usuario y necesito copiar los permisos de otro usuario,crear usuario,copiamos los permisos de varios usuarios,consulta del cliente,he creado un usuario y necesito copiar los permisos de otro usuario01122023mlaura incidenciatiene varios usuarios creados quiere modificar uno y dar de alta a otro que tengan los tres las mismas característicassolucióncopiamos los permisos de varios usuarios,gestión
59,165242,este error nos ha dado al facturar,error al facturar a partir de las 930,ya solucionado por el cliente,consulta del cliente,este error nos ha dado al facturarsoluciónya solucionado por el cliente,gestión
60,165197,buenas tardes estoy presentado el intrastat de noviembre y me da este error he comprobado y yo lo veo correctome puede llamar alguien para verificar que pasa se ha producido un error en su declaracion 2311daa000023 a fecha 30112023 a continuacion le mostramos mas datos código error descripción error 2 0046 0586 ausencia del valor estadistico 2 0046 0581 ausencia valor factura 2 0048 0586 ausencia del valor estadistico 2 0048 0581 ausencia valor factura,error intrastat,solucionado por el cliente realizará manualmente la presentación del intrastat,consulta del cliente,buenas tardes estoy presentado el intrastat de noviembre y me da este error he comprobado y yo lo veo correctome puede llamar alguien para verificar que pasa se ha producido un error en su declaracion 2311daa000023 a fecha 30112023 a continuacion le mostramos mas datos código error descripción error 2 0046 0586 ausencia del valor estadistico 2 0046 0581 ausencia valor factura 2 0048 0586 ausencia del valor estadistico 2 0048 0581 ausencia valor factura,gestión
61,165190,no me deja hacer una agrupación de recibos para el 2024,agrupacion de recibos,en preferencias modificamos la fecha máxima a 31122024 y nos deja generar la agrupación sin problemasuna vez generada volvemos a poner la fecha que tenia el programa 31122023,consulta del cliente,horario de 800 1600no me deja hacer una agrupación de recibos para el 202430112023mlaura incidenciaquiere agrupar dos recibos pero para generar la agrupacion en enero 2024 y le sale errorsoluciónen preferencias modificamos la fecha máxima a 31122024 y nos deja generar la agrupación sin problemasuna vez generada volvemos a poner la fecha que tenia el programa 31122023,gestión
62,165188,buenos tardes no podemos acceder a a3 erp el aviso que nos muestra es que no tenemos licenciasun saludo,error al acceder al a3 erp gestor de licencias,se desactiva el licenciador,consulta del cliente,buenos tardes no podemos acceder a a3 erp el aviso que nos muestra es que no tenemos licenciasun saludo01122023preguntar por ricardo o por ceciliano les deja acceder al programa este es el errorimg,sistemas
63,165183,quiero dar de baja un inmovilizado que todavía no está totalmente amortizado se hacer los asientos manualmente pero no de forma automática con vuestro programa en la ficha no consigo cambiar la fecha de baja,baja inmovilizado,la baja de inmovilizado lo único que realiza es que en la ficha del inmovilizado aparece como cancelado no permite ya trabajar con ella y elimina las cuotas pendientes de amortizar y si es necesario recalcula la última cuotasi se quiere cambiar la fecha de la baja se puede dar al botón de anular baja y volver a dar la baja con la fecha deseada,consulta del cliente,horario de 900 1400 y 1600 1900 quiero dar de baja un inmovilizado que todavía no está totalmente amortizado se hacer los asientos manualmente pero no de forma automática con vuestro programa en la ficha no consigo cambiar la fecha de bajasoluciónla baja de inmovilizado lo único que realiza es que en la ficha del inmovilizado aparece como cancelado no permite ya trabajar con ella y elimina las cuotas pendientes de amortizar y si es necesario recalcula la última cuotasi se quiere cambiar la fecha de la baja se puede dar al botón de anular baja y volver a dar la baja con la fecha deseadaimg,gestión
64,165180,,error enlace a3eco,comentamos que la versión 1405 se podrá corregir la fecha contable de las facturas desde la facturación automáticapara el enlace dat se hace sin problemas pasan todas las facturas,consulta cliente n2,horario de 800 1500problemaen la exportación de a3eco no se genera archivo de una factura en concreto 2023 1955 se ha probado otras facturas y si generan la exportacióndejamos copia bbdd en el repositorio del clientetal cual aparece en la foto hay que sacar esa factura cuando procesas de generar error de no hay datosimg,gestión
65,165172,como realizar la baja de comisiones,consulta comisiones,no es obligatorio eliminar las comisiones una vez abonadas basta con hacer una selección de fecha a fecha y así el programa te calcula el importe de las comisiones a abonarsi aun así se quieren eliminar en el listado de comisiones tendremos que situarnos en la línea a eliminar y pulsar al signo,consulta del cliente,como realizar la baja de comisiones30112023mlaura incidenciaquiere pagar las comisiones desde el 2018 a un representante pero quiere luego eliminarlas del programasoluciónno es obligatorio eliminar las comisiones una vez abonadas basta con hacer una selección de fecha a fecha y así el programa te calcula el importe de las comisiones a abonarsi aun así se quieren eliminar en el listado de comisiones tendremos que situarnos en la línea a eliminar y pulsar al signo,gestión
66,165007,se me han desconfigurado algunas características hoy en la actualización hecha como las sumas de importes parciales,configuración menús,solucionado por el cliente,consulta del cliente,horario 800 1300 de 1500 1800 se me han desconfigurado algunas características hoy en la actualización hecha como las sumas de importes parciales30112023lo ha solucionado el clientecerrando el programa y volviendolo a abrir,gestión
67,165006,,problema de instalación de a3erp en un puesto,buenos díasse deja instalado a3erp en equipo que da erroresun saludo,consulta del cliente,horario lj 900 1400 y 1500 1800 v 900 1500img,sistemas
68,164953,en uno de los puesto no tienen acceso,no acceso a a3,se instala el programa correctamente,consulta del cliente,problemaen un equipo no puede entrar la programasoluciónpor sergio30112023en este equipo no se había hecho la carga del programa una vez actualizado y por eso no podía entrar se abre el programa con el usuario administrador hace la carga y entramos sin problema,gestión
69,164921,consultar clientes con saldo 000buenos díasruego se pongan en contacto conmigo para resolver esa duda gracias,consultar clientes con saldo 000,se envía excel de los datos migrados original para comparar con la información de su programa antiguo,consulta cliente n2,horario lj 900 1700 v 900 1500 consultar clientes con saldo 000ruego se pongan en contacto conmigo para resolver esa duda 30112023mlaura incidenciacliente de arpedice que no sabe los clientes que le deben dineroquiere un listado de los clientes que le deben dinero como tenia ese programano quiere el listado de carterano quiere entrar cliente por clienteporque tiene clientes que arrastran deuda del otro programaimg,cartera
70,164820,buenos diasel martes se conecto maria y me dejo los cubos de centro de coste correctoslo unico que en la columna precio de venta no me aparecen los precios de venta que tiene cada articulo asignado en su ficha me lo podeis poner para que apareazca por favor,cubos de centros de coste llamar 0512,añadimos el campo precio de venta de la ficha del artículo en el cubo de ventas,consulta cliente n2,buenos diasel martes se conecto maria y me dejo los cubos de centro de coste correctoslo unico que en la columna precio de venta no me aparecen los precios de venta que tiene cada articulo asignado en su ficha me lo podeis poner para que apareazca por favorproblemacubo configurado por sdi no saca el precio de venta del artículopor sergio05122023soluciónconectamos con el usuario y se añade en la vista del cubo para que aparezca el campo precio de venta de la ficha del artículose hace la prueba y aparece sin problema,gestión
71,164672,buenos díasvemos que estamos sacando lotes nuevos y se quedan viejos entiendo que el programa está preparado para sacar los lotes más antiguo y cuando se acaba el stock sacar el mas nuevo pero si se fija en la imagen los alterna y no sabemos el motivo,errores en los moviemientos de los lotes,se revisa el criterio de asignación de lotes en el proceso de servir pedidosse actualizará el 04122023 junto con las modificaciones realizadas en el ticket 162283,bug nivel 2 desarrollo,horario oficina 800 1300 y 1600 1930 buenos díasvemos que estamos sacando lotes nuevos y se quedan viejos entiendo que el programa está preparado para sacar los lotes más antiguo y cuando se acaba el stock sacar el mas nuevo pero si se fija en la imagen los alterna y no sabemos el motivoproblema con el proceso discon servir pedidos de venta que sirven el pedido de venta a una factura de venta no está cogiendo el lote correctamenteimg,procesos externos
72,164531,buenos díaslas lineas de los articulos plastico se calculan y se colocan en las últimas lineas en lugar de ir a continuación de su articulo padre esto dificulta la comprensión de la facturacabe la posibilidad de cambiarlo,modificar albaranes impresión por el impuesto del plástico,presupuesto,consulta del cliente,horario de 800 1330 y 1500 1800 buenos díaslas lineas de los articulos plastico se calculan y se colocan en las últimas lineas en lugar de ir a continuación de su articulo padre esto dificulta la comprensión de la facturacabe la posibilidad de cambiarlo30112023mlaura incidenciatiene un vertical echo pero a la hora de imprimir los albaranes quiere modificar los artículos del plásticoquiere que cada impuesto plastico vaya debajo del artículo no al final del documentoimg,gestión
73,164478,buenas necesito que al sacar el sys se incluya los saldos de apertura y nose como hacerlos para que me salga en el excelgracias,sumas y saldos sin saldo inicial,comprobamos que no está hecho el asiento de cierre del 2022 ni el asiento de apertura del 2023aconsejamos hacerlo y volver a sacar el listado,consulta del cliente,buenas necesito que al sacar el sys se incluya los saldos de apertura y nose como hacerlos para que me salga en el excelgraciasimg,conta
74,164420,,presupuesto sdi12759 incidencia para presupuestar,se genera presupuesto y se envía por correo electrónico,presupuesto,horario de 800 1600se le puede llamar sebas título de la modificaciónmejoramigración de servidor por fin de soporte de windows server 2012r2 han declinado cloud descripción de los trabajos a realizar punto 1instalación de a3 e iges en el servidor con sql server standard3 horaspunto 2migración de servidor antiguo3 horaspunto 3instalación de clientes y pruebas2 horas horas necesarias 8h sql estándar usuario que ha analizado rubén garcía usuario que ha valorado guillermo usuario que ha validado guillermo,sistemas
75,164382,buenos dias necesito que me llameis porque me dice el gestor que os pregunte por las facturas de autoconsumo de existenciasgracias,autoconsumo existencias,se propone varias opciones realizar las facturas sin cartera y sin repercusiones contables realizar en lugar de albaranes de venta albaranes de regularización,consulta cliente n2,horario de 800 a 1700buenos dias necesito que me llameis porque me dice el gestor que os pregunte por las facturas de autoconsumo de existenciasgraciasproblemael cliente después de hablar con su asesor preguntar si es posible generar para varios clientes de a3erp sus distintas sedes de empresa agrotrapiche sus propias facturas de autoconsumo para cuando tengan alguna inspección poder declarar este tipo de acciones de gestión de empresaactualmente utilizan albaranes de venta para dar salida a la mercancía del almacén del programa y físico y después lo dejan sin facturar como pendiente o en no facturable su asesor le dice que se puede realizar facturas de autoconsumo sin reflejar contabilidad y cartera nota juan después de comprobar la información proporcionado por el cliente no he detectado o visto funcionalidad que se pueda aplicar a la factura de autoconsumo paso a n2 para ver si pueden ver otra forma y explicarlo al clientesolución30112023 yolandacomentar que el programa no tiene facturas de autoconsumose propone varias opciones realizar las facturas sin cartera y sin repercusiones contables el stock sale del almacén pero se declara iva en los listados y en el modelo de hacienda realizar en lugar de albaranes de venta albaranes de regularización el stock sale del almacén y si son productos fitosanitarios se suben al reto,gestión
76,164380,no me salen en algunos articulos el precio medio,articulos,recálculo de stocks y precios medios para corregir varios artículos en cantidades y costesdocumento regularización para poder corregir costes de manera manual,consulta del cliente,horario de 700 1300 y 1500 1900no me salen en algunos articulos el precio mediosoluciónrecálculo de stocks y precios medios para corregir varios artículos en cantidades y costesdocumento regularización para poder corregir costes de manera manual,gestión
77,164030,pregunta si el aviso de los días que le quedan de uso del programa se puede quitartodos los meses se le renueva y todos los días le salta el aviso de descuento,quitar aviso,renovación de licencias temporales dudas resueltas,consulta del cliente,pregunta si el aviso de los días que le quedan de uso del programa se puede quitartodos los meses se le renueva y todos los días le salta el aviso de descuentosoluciónrenovación de licencias temporales dudas,sistemas
78,164028,buenos días necesito sacar para el auditor un listado del inmovilizado y su amortización pero resulta que hay elementos de inmovilizado en el bcsysaldos que no salen en el listado de inmovilizado todos están totalmente amortizados pero en el listado hay otros elementos que también están totalmente amortizados y sí me los da a que es debido es posible que estén dados de baja pero porque unos sí y otros no estando todos totalmente amortizados espero vuestra llamada un saludo y gracias sandra,consulta sobre listado de inmovilizado,desde la opción de listado de inmovilizado podemos elegir en características del listado el formato para poder sacar cuotas amortización acumulada etcmostramos que si el elemento de inmovilizado número 60001 no está dado de alta como ficha de inmovilizado no va a salir en el listadopodemos ver las cuotas amortizadas desde el mayor de las cuentas de amortización,consulta del cliente,necesito sacar para el auditor un listado del inmovilizado y su amortización pero resulta que hay elementos de inmovilizado en el bcsysaldos que no salen en el listado de inmovilizado todos están totalmente amortizados pero en el listado hay otros elementos que también están totalmente amortizados y sí me los da a que es debido es posible que estén dados de baja pero porque unos sí y otros no estando todos totalmente amortizados solucióndesde la opción de listado de inmovilizado podemos elegir en características del listado el formato para poder sacar cuotas amortización acumulada etcmostramos que si el elemento de inmovilizado número 60001 no está dado de alta como ficha de inmovilizado no va a salir en el listadopodemos ver las cuotas amortizadas desde el mayor de las cuentas de amortización,gestión
79,164027,buenos días tenemos problemas a la hora de emiir facturas electrónicas ya que nos están rechazando algunas porque no aparece un número de cuenta bancaria para hacer el pago a pesar de que en el documento en papel si que salen nuestras cuentas bancariaspodrían ayudarnosun saludo y gracias de antemano por su ayuda,cuenta bancaria que no aparece en facturas electrónicas,comprobar factura xml no aparece el número de cuenta bancariacomprobar factura el documento de pago no tiene puesto transferencia se pone y genera factura xml con el número de cuenta bancaria,consulta del cliente,buenos días tenemos problemas a la hora de emiir facturas electrónicas ya que nos están rechazando algunas porque no aparece un número de cuenta bancaria para hacer el pago a pesar de que en el documento en papel si que salen nuestras cuentas bancariaspodrían ayudarnosun saludo y gracias de antemano por su ayudasolución30112023 yolandacomprobar factura xml no aparece el número de cuenta bancariacomprobar factura el documento de pago no tiene puesto transferencia se pone y genera factura xml con el número de cuenta bancaria,gestión
80,164025,hemos tenido que formatear un equipo tiene el a3 instalado pero al abrirlo da el error indicado en el archivo adjunto cancelamos esa pantalla y se abre el abre el a3,error al entrar al a3erp,instalación del a3erp tras errores en puesto local y parametrización de módulos de sdi en varios puestos,consulta del cliente,horario 800 1600 hora canaria hemos tenido que formatear un equipo tiene el a3 instalado pero al abrirlo da el error indicado en el archivo adjunto cancelamos esa pantalla y se abre el abre el a3solucióninstalación del a3erp tras errores en puesto local y parametrización de módulos de sdi en varios puestos,sistemas
81,164023,cuando quiero ver el listado de clientes me sale un filtro no se como quitarlo no lo veo podeis ayudarme,clientes quitar filtro en busqueda,en la grid de clientes en filtro con barra espaciadora se quita el filtro que estaba seleccionado y damos buscarya nos muestra los clientes correctamente,consulta del cliente,cuando quiero ver el listado de clientes me sale un filtro no se como quitarlo no lo veo podéis ayudarmesoluciónen la grid de clientes en filtro con barra espaciadora se quita el filtro que estaba seleccionado y damos buscarya nos muestra los clientes correctamente,gestión
82,164019,nos da el error que paso en la captura en el adjunto al cargarlo en un equipo,errror al cargar el programa,duplicada con ticket 164014,duplicada,no prestasync cualquier incidencia de prestasync asignar directamente a áfrica horario de 800 1500 hora canaria nos da el error que paso en la captura en el adjunto al cargarlo en un equipoduplicada con tarea,sistemas
83,164016,quiero hacer una consulta referente al lote y nº de serie,consulta lote o numero de serie,acerca del área de clientes de wolters kluverdudas con lotes y números de serie para trabajar en a3erp,consulta del cliente,quiero hacer una consulta referente al lote y nº de serieproblemaconsultas y dudas con lotes y números de seriesoluciónacerca del área de clientes de wolters kluverdudas con lotes y números de serie para trabajar en a3erp,gestión
84,164015,mensaje de error después de la actualización de fitosanitariosusuario bloqueado,mensaje de error,se realiza actualización de fitosanitarios y se comprueba después si se ha quedado bloqueado algún usuario,consulta del cliente,horario 800 1300 y 1530 1800 horario verano 800 1500 mensaje de error después de la actualización de fitosanitariosusuario bloqueadosoluciónse realiza actualización de fitosanitarios y se comprueba después si se ha quedado bloqueado algún usuario,gestión
85,164014,tenemos un equipo en el que no se carga el programa,no se abre el programa en un equipo,se cambia desde el registro la opción de pedir contraseña,error generado por el cliente,no prestasync cualquier incidencia de prestasync asignar directamente a áfrica horario de 800 1500 hora canaria tenemos un equipo en el que no se carga el programasolución tenían recordada la contraseña para el usuario nuvia y habrá cambiadose entra en el registro de windows para poner el flag de pedir contraseña a 1img,sistemas
86,164007,cambiar numero de cuenta en factura,cambiar numero de cuenta en factura,le explico como cambiar la cuenta en las facturas,consulta del cliente,cliente que proviene de gefiscalcambiar numero de cuenta en factura30112023mlaura incidenciaquieren saber como cambiar la cuentasoluciónle explico como cambiar la cuenta en las facturas,gestión
87,164006,al conectarnos a a3 sigue saliendo el aviso que va restando días el mes pasado llegó a cero y no pudimos abrir a3 en ningún puestoahora marca que quedan 2urge no podremos entrar el lunes,quedan dos dias,renovación de licencias temporales a3erp,consulta del cliente,al conectarnos a a3 sigue saliendo el aviso que va restando días el mes pasado llegó a cero y no pudimos abrir a3 en ningún puestoahora marca que quedan 2urge no podremos entrar el lunesse pone tarea programada con licenciador automático,sistemas
88,164005,estimados sresen un articulo que ya existía código 2030010 pero que no tenía precio le hemos puesto el precio nuevoal incluir este artículo en un pedido de un cliente no nos coge el precio que si vemos en pantalla del producto quedamos a la espera de respuesta gracias,precio articulo que no muestra el precio de venta,en ficha de artículo en pestaña ventas tenemos la pestaña tarifasen el pedido nos mostraba cero porque era el precio que tenía puesto la tarifacambiamos precio de la tarifa y nos muestra el precio correctamente,consulta del cliente,horario de 800 1430 en un articulo que ya existía código 2030010 pero que no tenía precio le hemos puesto el precio nuevoal incluir este artículo en un pedido de un cliente no nos coge el precio que si vemos en pantalla del productosoluciónen ficha de artículo en pestaña ventas tenemos la pestaña tarifasen el pedido nos mostraba cero porque era el precio que tenía puesto la tarifacambiamos precio de la tarifa y nos muestra el precio correctamente,gestión
89,164002,quiere hacer una bonificacion de factura del 5,nota de abono en factura,hacemos factura rectificativa y enviamos al sii,consulta del cliente,horario de 800 1300 y 1500 1800 quiere hacer una bonificacion de factura del 530112023mlaura incidenciaestá haciendo una factura de abono le enseño a marcar el check y a indicar de la factura que rectifica enviamos al siiisoluciónhacemos factura rectificativa y enviamos al sii,otro
90,164001,arreglar kit de productos no funciona biencuando un producto lo coge de varios sitios ahora no lo hace el programa,kit de montaje,el producto kit no está marcado para que salga la estructura automáticamente por ello carga los componentes se corrige marcando el check de que salga los componentesse crea vista en cubo de ventas clientes para sacar el total del ejercicio 2023 por cliente,consulta del cliente,horario 800 a 1300 y de 1500 a 1800arreglar kit de productos no funciona biencuando un producto lo coge de varios sitios ahora no lo hace el programaproblemaproducto que no ha cargado su estructura de kit en las ventas las 3 primeras ventas no ha cargado el kit y sus componentes vinagre agricola 22º código 101081img,gestión
91,163998,falta la pestaña de artículos de campos externos,falta pestaña de campos externos,creamos un nuevo perfil para poder solucionar el problema,consulta cliente n2,horario de 800 a 1400 y 1600 a 2000 falta la pestaña de artículos de campos externosimg,gestión
92,163992,la licencia caduca en 2 días,renovar licencia,se renuevan licencias temporales a3erp,consulta del cliente,horario de 800 1300 y 1600 1900 por la tarde es mas probable contactar con ellala licencia caduca en 2 díassoluciónse renuevan licencias temporales a3erptarea programada con licenciador automático,sistemas
93,163982,acabo de darme cuanta que no me está poniendo la misma fecha contable que la fecha de la factura mando pantallazo alguna vez he me ha saltado algun mensaje diciendome algo de las fechas pero la verdad es que no lo entendia y no he prestado atencion ahora al repasar la contabilidad de un cliente he visto que esto es asi pero no lo entiendo muy bien adjunto pantallazo yo creo que antes si coincidian las dos fechas sin yo tener que hacer nada para que me expliquen un poco,fecha factura y fecha contable,es una funcionalidad del programa que no podemos quitar que viene explicada en a3responde la necesidad de que sea asíel cliente mirará a finales de cada trimestre los últimos albaranes el facturarlos con fecha factura dentro del mes de la fecha del albarán para que también tenga la misma fecha contable,consulta del cliente,acabo de darme cuanta que no me está poniendo la misma fecha contable que la fecha de la factura mando pantallazo alguna vez he me ha saltado algun mensaje diciendome algo de las fechas pero la verdad es que no lo entendia y no he prestado atencion ahora al repasar la contabilidad de un cliente he visto que esto es asi pero no lo entiendo muy bien adjunto pantallazo yo creo que antes si coincidian las dos fechas sin yo tener que hacer nada para que me expliquen un pocosoluciónes una funcionalidad del programa que no podemos quitar que viene explicada en a3responde la necesidad de que sea así el cliente mirará a finales de cada trimestre los últimos albaranes el facturarlos con fecha factura dentro del mes de la fecha del albarán para que también tenga la misma fecha contable,gestión
94,163977,,presupuesto sdi12765 modificar de nuevo el modelo de impresión de las facturas,se genera presupuesto y se envía por correo electrónico,presupuesto,incidencia para valorarpresupuestartítulo de la modificaciónmejoramodificar de nuevo el modelo de impresión de las facturasdescripción de los trabajos a realizarmodificar de nuevo el modelo de impresión de las facturas de venta en el cual sdi realizará los siguientes cambioslstimprfacv28726001factura de venta añadir su código registro productor que debe ir informado en el pie debajo de la inscripción de registro mercantil horas necesarias 1h usuario que ha analizado maría laura corral usuario que ha valorado esther usuario que ha validado esthernota adicional este documento ya fue modificado hace unas semanas por lo que la clienta cree que no se le debería de cobrar importe alguno nota interna adjunto copia del documento,otro
95,163976,no le deja sacar etiqueta de envío de clienteno le aparece la opción de imprimir etiqueta,imprimir etiqueta con dirección de entrega de cliente,enseñamos desde buscar opción que puede buscar etiquetas de clientes marcamos el cliente que queramos y elegimos el modelo de etiqueta de dirección de entrega comprobamos que funciona correctamente,consulta del cliente,no le deja sacar etiqueta de envío de clienteno le aparece la opción de imprimir etiquetasoluciónenseñamos desde buscar opción que puede buscar etiquetas de clientes marcamos el cliente que queramos y elegimos el modelo de etiqueta de dirección de entrega comprobamos que funciona correctamente,gestión
96,163974,buenaspor favor llamadme mañana por la mañana,no deja imprimir,se desmarca la opción de permitir que windows administre las impresoras en su puesto local se realizan pruebas de impresión y fichero pdf con éxito,consulta del cliente,por favor llamadme mañana por la mañana soluciónse desmarca la opción de permitir que windows administre las impresoras en su puesto local se realizan pruebas de impresión y fichero pdf con éxito,sistemas
97,163970,incluir nuestro nº registro productor en facturas,nº registro productor en factura,preupuesto,consulta del cliente,incluir nuestro nº registro productor en facturas29112023mlaura incidenciaen el modelo de impresión factura de venta quiere añadir el código reto comenta que ya se le hizo un modelo de impresión la semana pasada por lo que no debería de pagar mas dinerocodigo retoimg,modelos impresión
98,163949,,presupuesto sdi12758 control de lotes con fecha de caducidad presupuesto,se genera presupuesto y se envía por correo electrónico,presupuesto,incidencia para valorarpresupuestartítulo de la modificaciónmejoracontrol de artículos caducados al servir pedidos descripción de los trabajos a realizardesde fruseca se desea poder controlar los artículos caducados al servir pedidos desde el proceso desarrollado teniendo marcada la opción de permitir vender artículos caducadospara ello se modificará el proceso de servir pedidos en dicho proceso antes de servir una línea se comprobará la fecha de caducidad del artículo a servir en el caso de que dicha fecha sea anterior a la fecha actual se pasará a comprobar el número de unidades a servir en caso de que las unidades a servir sean negativas se considerará que es una devolución y se indicará como almacén destino de la línea el almacén de productos caducadossi por el contrario las unidades de la línea fueran positivas se pausará el proceso mostrando un mensaje que indique esta circunstancia y se permitirán tres opciones1 no servir artículo si se elige esta opción la línea del artículo se dejará sin servir continuando el proceso con el resto de las líneas2 cambiar lote esta opción permitirá cambiar el lote de la línea por otro con una fecha de caducidad no sobrepasada para ello mostrará en una ventana una lista de lotes disponibles junto con la cantidad disponible y la fecha de caducidad si fuera necesario se podría repartir la cantidad a servir en varios lotes3 cambiar el almacén de destino al almacén de productos caducados esta opción lo que haría sería cambiar el almacén de la línea por el almacén de productos caducados de la misma manera que se hace con los abonosen caso de cancelar este proceso se entenderá que se ha seleccionado la opción 1 y no se servirá la líneauna vez seleccionada una opción o cancelado el proceso se continuará con los demás artículosse añadirá un nuevo parámetro en la configuración de los procesos externos para indicar cual es almacén de productos caducadosnota esta funcionalidad será valida sólo desde el proceso externo de servir pedidos si se sirven pedidos con la funcionalidad de a3erp se podrán servir con lotes caducadoshoras necesarias 11 horas incluido el tiempo ya invertido usuario que ha analizado yolanda usuario que ha valorado toño usuario que ha validado toño,procesos externos
99,163945,buenas tardes tenemos problemas con los preciosen algunos clientes que tienen designada la tarifa uno de precios coge los precios de la tarifa 2 y otros de la casilla precio de ventame urge que me lo solucionen,precios de las tarifas,se revisan tarifas clientes y artículos con la tarifa asignada después de pruebas realizadas con el cliente no se detecta incidencia indicamos que si falla el precio de venta que comrpueban las cabeceras del documento de venta y el cliente en sus condiciones,consulta del cliente,buenas tardes tenemos problemas con los preciosen algunos clientes que tienen designada la tarifa uno de precios coge los precios de la tarifa 2 y otros de la casilla precio de ventame urge que me lo solucionensoluciónse revisan tarifas clientes y artículos con la tarifa asignada después de pruebas realizadas con el cliente no se detecta incidencia indicamos que si falla el precio de venta que comrpueban las cabeceras del documento de venta y el cliente en sus condiciones,gestión
